what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446734787035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1446734787067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446734793468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446734804907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1446734804907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446734809403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446734823564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1446734823580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446734842340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446734850281
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1446734881800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735054525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735056179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735131355
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446735135055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735141708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735158800
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1446735160679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1446735162270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446735163970
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446735165251
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1446735165251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735169231
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1446735172429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735173521
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1446735173599
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1446735174441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1446735174753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735178981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446735184266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446735201453
